Job id            Name             User              Time Use S Queue
337745.mgmt1      W5-244           jwin1641                 0 Q compute         
337746.mgmt1      W5-245           jwin1641                 0 Q compute         
337747.mgmt1      W5-246           jwin1641                 0 Q compute         
337748.mgmt1      W5-247           jwin1641                 0 Q compute         
337749.mgmt1      W5-248           jwin1641                 0 Q compute         
337750.mgmt1      W5-249           jwin1641                 0 Q compute         
337751.mgmt1      W5-250           jwin1641                 0 Q compute         
337752.mgmt1      W5-251           jwin1641                 0 Q compute         
337753.mgmt1      W5-252           jwin1641                 0 Q compute         
337754.mgmt1      W5-253           jwin1641                 0 Q compute         
337755.mgmt1      W5-254           jwin1641                 0 Q compute         
337756.mgmt1      W5-255           jwin1641                 0 Q compute         
337757.mgmt1      W5-256           jwin1641                 0 Q compute         
337758.mgmt1      W5-257           jwin1641                 0 Q compute         
337759.mgmt1      W5-258           jwin1641                 0 Q compute         
337760.mgmt1      W5-259           jwin1641                 0 Q compute         
337761.mgmt1      W5-260           jwin1641                 0 Q compute         
337762.mgmt1      W5-261           jwin1641                 0 Q compute         
337763.mgmt1      W5-262           jwin1641                 0 Q compute         
337764.mgmt1      W5-263           jwin1641                 0 Q compute         
337765.mgmt1      W5-264           jwin1641                 0 Q compute         
337766.mgmt1      W5-265           jwin1641                 0 Q compute         
337767.mgmt1      W5-266           jwin1641                 0 Q compute         
337768.mgmt1      W5-267           jwin1641                 0 Q compute         
337769.mgmt1      W5-268           jwin1641                 0 Q compute         
337770.mgmt1      W5-269           jwin1641                 0 Q compute         
337771.mgmt1      W5-270           jwin1641                 0 Q compute         
337772.mgmt1      W5-271           jwin1641                 0 Q compute         
337773.mgmt1      W5-272           jwin1641                 0 Q compute         
337774.mgmt1      W5-273           jwin1641                 0 Q compute         
337775.mgmt1      W5-274           jwin1641                 0 Q compute         
337776.mgmt1      W5-275           jwin1641                 0 Q compute         
337777.mgmt1      W5-276           jwin1641                 0 Q compute         
337778.mgmt1      W5-277           jwin1641                 0 Q compute         
337779.mgmt1      W5-278           jwin1641                 0 Q compute         
337780.mgmt1      W5-279           jwin1641                 0 Q compute         
337781.mgmt1      W5-280           jwin1641                 0 Q compute         
337782.mgmt1      W5-281           jwin1641                 0 Q compute         
337783.mgmt1      W5-282           jwin1641                 0 Q compute         
337784.mgmt1      W5-283           jwin1641                 0 Q compute         
337785.mgmt1      W5-284           jwin1641                 0 Q compute         
337786.mgmt1      W5-285           jwin1641                 0 Q compute         
337787.mgmt1      W5-286           jwin1641                 0 Q compute         
337788.mgmt1      W5-287           jwin1641                 0 Q compute         
337789.mgmt1      W5-288           jwin1641                 0 Q compute         
337790.mgmt1      W5-289           jwin1641                 0 Q compute         
337791.mgmt1      W5-290           jwin1641                 0 Q compute         
337792.mgmt1      W5-291           jwin1641                 0 Q compute         
337793.mgmt1      W5-292           jwin1641                 0 Q compute         
337794.mgmt1      W5-293           jwin1641                 0 Q compute         
337795.mgmt1      W5-294           jwin1641                 0 Q compute         
337796.mgmt1      W5-295           jwin1641                 0 Q compute         
337797.mgmt1      W5-296           jwin1641                 0 Q compute         
337798.mgmt1      W5-297           jwin1641                 0 Q compute         
337799.mgmt1      W5-298           jwin1641                 0 Q compute         
337800.mgmt1      W5-299           jwin1641                 0 Q compute         
337801.mgmt1      W5-300           jwin1641                 0 Q compute         
337802.mgmt1      W5-301           jwin1641                 0 Q compute         
337803.mgmt1      W5-302           jwin1641                 0 Q compute         
337804.mgmt1      W5-303           jwin1641                 0 Q compute         
337805.mgmt1      W5-304           jwin1641                 0 Q compute         
337806.mgmt1      W5-305           jwin1641                 0 Q compute         
337807.mgmt1      W5-306           jwin1641                 0 Q compute         
337808.mgmt1      W5-307           jwin1641                 0 Q compute         
337809.mgmt1      W5-308           jwin1641                 0 Q compute         
337810.mgmt1      W5-309           jwin1641                 0 Q compute         
337811.mgmt1      W5-310           jwin1641                 0 Q compute         
337812.mgmt1      W5-311           jwin1641                 0 Q compute         
337813.mgmt1      W5-312           jwin1641                 0 Q compute         
337814.mgmt1      W5-313           jwin1641                 0 Q compute         
337815.mgmt1      W5-314           jwin1641                 0 Q compute         
337816.mgmt1      W5-315           jwin1641                 0 Q compute         
337817.mgmt1      W5-316           jwin1641                 0 Q compute         
337818.mgmt1      W5-317           jwin1641                 0 Q compute         
337819.mgmt1      W5-318           jwin1641                 0 Q compute         
337820.mgmt1      W5-319           jwin1641                 0 Q compute         
337821.mgmt1      W5-320           jwin1641                 0 Q compute         
337822.mgmt1      W5-321           jwin1641                 0 Q compute         
337823.mgmt1      W5-322           jwin1641                 0 Q compute         
337824.mgmt1      W5-323           jwin1641                 0 Q compute         
337825.mgmt1      W5-324           jwin1641                 0 Q compute         
337826.mgmt1      W5-325           jwin1641                 0 Q compute         
337827.mgmt1      W5-326           jwin1641                 0 Q compute         
337828.mgmt1      W5-327           jwin1641                 0 Q compute         
337829.mgmt1      W5-328           jwin1641                 0 Q compute         
337830.mgmt1      W5-329           jwin1641                 0 Q compute         
337831.mgmt1      W5-330           jwin1641                 0 Q compute         
337832.mgmt1      W5-331           jwin1641                 0 Q compute         
337833.mgmt1      W5-332           jwin1641                 0 Q compute         
337834.mgmt1      W5-333           jwin1641                 0 Q compute         
337835.mgmt1      W5-334           jwin1641                 0 Q compute         
337836.mgmt1      W5-335           jwin1641                 0 Q compute         
337837.mgmt1      W5-336           jwin1641                 0 Q compute         
337838.mgmt1      W5-337           jwin1641                 0 Q compute         
337839.mgmt1      W5-338           jwin1641                 0 Q compute         
337840.mgmt1      W5-339           jwin1641                 0 Q compute         
337841.mgmt1      W5-340           jwin1641                 0 Q compute         
337842.mgmt1      W5-341           jwin1641                 0 Q compute         
337843.mgmt1      W5-342           jwin1641                 0 Q compute         
337844.mgmt1      W5-343           jwin1641                 0 Q compute         
337845.mgmt1      W5-344           jwin1641                 0 Q compute         
337846.mgmt1      W5-345           jwin1641                 0 Q compute         
337847.mgmt1      W5-346           jwin1641                 0 Q compute         
337848.mgmt1      W5-347           jwin1641                 0 Q compute         
337849.mgmt1      W5-348           jwin1641                 0 Q compute         
337850.mgmt1      W5-349           jwin1641                 0 Q compute         
337851.mgmt1      W5-350           jwin1641                 0 Q compute         
337852.mgmt1      W5-351           jwin1641                 0 Q compute         
337853.mgmt1      W5-352           jwin1641                 0 Q compute         
337854.mgmt1      W5-353           jwin1641                 0 Q compute         
337855.mgmt1      W5-354           jwin1641                 0 Q compute         
337856.mgmt1      W5-355           jwin1641                 0 Q compute         
337857.mgmt1      W5-356           jwin1641                 0 Q compute         
337858.mgmt1      W5-357           jwin1641                 0 Q compute         
337859.mgmt1      W5-358           jwin1641                 0 Q compute         
337860.mgmt1      W5-359           jwin1641                 0 Q compute         
337861.mgmt1      W5-360           jwin1641                 0 Q compute         
337862.mgmt1      W5-361           jwin1641                 0 Q compute         
337863.mgmt1      W5-362           jwin1641                 0 Q compute         
337864.mgmt1      W5-363           jwin1641                 0 Q compute         
337865.mgmt1      W5-364           jwin1641                 0 Q compute         
337866.mgmt1      W5-365           jwin1641                 0 Q compute         
337867.mgmt1      W5-366           jwin1641                 0 Q compute         
337868.mgmt1      W5-367           jwin1641                 0 Q compute         
337869.mgmt1      W5-368           jwin1641                 0 Q compute         
337870.mgmt1      W5-369           jwin1641                 0 Q compute         
337871.mgmt1      W5-370           jwin1641                 0 Q compute         
337872.mgmt1      W5-371           jwin1641                 0 Q compute         
337873.mgmt1      W5-372           jwin1641                 0 Q compute         
337874.mgmt1      W5-373           jwin1641                 0 Q compute         
337875.mgmt1      W5-374           jwin1641                 0 Q compute         
337876.mgmt1      W5-375           jwin1641                 0 Q compute         
337877.mgmt1      W5-376           jwin1641                 0 Q compute         
337878.mgmt1      W5-377           jwin1641                 0 Q compute         
337879.mgmt1      W5-378           jwin1641                 0 Q compute         
337880.mgmt1      W5-379           jwin1641                 0 Q compute         
337881.mgmt1      W5-380           jwin1641                 0 Q compute         
337882.mgmt1      W5-381           jwin1641                 0 Q compute         
337883.mgmt1      W5-382           jwin1641                 0 Q compute         
337884.mgmt1      W5-383           jwin1641                 0 Q compute         
337885.mgmt1      W5-384           jwin1641                 0 Q compute         
337886.mgmt1      W5-385           jwin1641                 0 Q compute         
337887.mgmt1      W5-386           jwin1641                 0 Q compute         
337888.mgmt1      W5-387           jwin1641                 0 Q compute         
337889.mgmt1      W5-388           jwin1641                 0 Q compute         
337890.mgmt1      W5-389           jwin1641                 0 Q compute         
337891.mgmt1      W5-390           jwin1641                 0 Q compute         
337892.mgmt1      W5-391           jwin1641                 0 Q compute         
337893.mgmt1      W5-392           jwin1641                 0 Q compute         
337894.mgmt1      W5-393           jwin1641                 0 Q compute         
337895.mgmt1      W5-394           jwin1641                 0 Q compute         
337896.mgmt1      W5-395           jwin1641                 0 Q compute         
337897.mgmt1      W5-396           jwin1641                 0 Q compute         
337898.mgmt1      W5-397           jwin1641                 0 Q compute         
337899.mgmt1      W5-398           jwin1641                 0 Q compute         
337900.mgmt1      W5-399           jwin1641                 0 Q compute         
337901.mgmt1      W5-400           jwin1641                 0 Q compute         
337902.mgmt1      W5-401           jwin1641                 0 Q compute         
337903.mgmt1      W5-402           jwin1641                 0 Q compute         
337904.mgmt1      W5-403           jwin1641                 0 Q compute         
337905.mgmt1      W5-404           jwin1641                 0 Q compute         
337906.mgmt1      W5-405           jwin1641                 0 Q compute         
337907.mgmt1      W5-406           jwin1641                 0 Q compute         
337908.mgmt1      W5-407           jwin1641                 0 Q compute         
337909.mgmt1      W5-408           jwin1641                 0 Q compute         
337910.mgmt1      W5-409           jwin1641                 0 Q compute         
337911.mgmt1      W5-410           jwin1641                 0 Q compute         
337912.mgmt1      W5-411           jwin1641                 0 Q compute         
337913.mgmt1      W5-412           jwin1641                 0 Q compute         
337914.mgmt1      W5-413           jwin1641                 0 Q compute         
337915.mgmt1      W5-414           jwin1641                 0 Q compute         
337916.mgmt1      W5-415           jwin1641                 0 Q compute         
337917.mgmt1      W5-416           jwin1641                 0 Q compute         
337918.mgmt1      W5-417           jwin1641                 0 Q compute         
337919.mgmt1      W5-418           jwin1641                 0 Q compute         
